crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion
Maize,Vegetative,34,74,32,11,"High temperature with moderate rainfall requires vigilant pest monitoring, especially for fall armyworm. Apply appropriate insecticides during cooler parts of day and wear protective equipment. Ensure adequate nitrogen levels to support robust growth while watching for signs of heat stress in workers and plants."
Millet,Germination,23,78,55,7,"Moderate temperature with significant rainfall may cause waterlogging. Establish proper drainage channels before heavy rains and avoid walking on wet seedbeds. Monitor for fungal diseases like damping-off and treat seedbeds with appropriate fungicides wearing proper protective equipment."
Sugarcane,Germination,26,82,61,11,"High humidity and rainfall create ideal conditions for fungal diseases. Treat planting material with fungicides before sowing and ensure field workers use protective gear during application. Implement drainage systems to prevent stagnant water and subsequent root rot issues."
Banana,Harvest,30,77,0,11,"Warm temperature with no rainfall creates ideal harvesting conditions. Ensure workers take regular hydration breaks to prevent heat stress. Clean and sanitize harvesting tools between plants to prevent disease spread, and store harvested fruits in shaded areas to maintain quality."
Maize,Vegetative,31,72,24,11,"Moderate rainfall with warm temperatures promotes rapid growth but also creates favorable conditions for foliar diseases. Scout for early signs of leaf blight and apply preventive fungicides as needed. Ensure proper protective equipment during chemical applications and maintain buffer zones near water sources."
Cotton,Flowering,34,67,7,19,"High temperature with strong winds may accelerate water loss. Implement supplemental irrigation focusing on early morning or late evening to reduce evaporation. Monitor for bollworm which thrives in these conditions and ensure pesticide applicators wear full protective gear with special attention to respiratory protection."
Groundnut,Vegetative,33,74,34,16,"Warm and humid conditions favor leaf spot diseases. Implement a preventive fungicide program and ensure workers rotate tasks to minimize continuous exposure to chemicals. Create windbreaks to reduce physical damage to plants and maintain soil moisture during windy conditions."
Brinjal,Flowering,37,71,11,16,"High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion when temperatures exceed 35°C."
Maize,Germination,31,79,58,14,"Substantial rainfall may lead to soil erosion and seed displacement. Implement contour plowing before planting and use mulch to stabilize soil. Monitor for seedling diseases that thrive in wet conditions and establish emergency drainage channels to prevent complete waterlogging."
Groundnut,Vegetative,31,80,37,13,"High humidity with moderate rainfall creates ideal conditions for leaf spot and rust diseases. Implement a fungicide rotation program to prevent resistance development and ensure proper coverage by calibrating sprayers. Provide workers with waterproof footwear to prevent exposure to agricultural chemicals in wet soil."
Groundnut,Flowering,35,64,0,12,"High temperature with no rainfall may stress plants during critical flowering stage. Implement supplemental irrigation focusing on soil saturation rather than foliar wetting. Monitor for thrips which thrive in hot, dry conditions and can significantly impact yield through flower damage."
Maize,Germination,29,80,67,13,"Heavy rainfall may cause erosion and waterlogging. Create diversion ditches before planting to channel excess water away from fields. Apply seed treatments to protect against fungal pathogens that thrive in wet conditions and consider delayed planting if severe weather persists."
Tomato,Vegetative,27,66,41,10,"Moderate temperature with significant rainfall increases risk of soil-borne diseases. Implement raised beds or plastic mulch to reduce soil splash onto foliage. Train workers to recognize early blight symptoms and sanitize tools between plants to prevent pathogen spread."
Groundnut,Flowering,35,66,9,15,"High temperature with low rainfall during flowering may reduce pollination success. Apply supplemental irrigation during morning hours and avoid disturbing plants during midday heat. Ensure workers are provided with shade, hydration, and regular breaks to prevent heat-related illness."
Tomato,Flowering,35,77,17,14,"High temperature with moderate humidity may reduce fruit set. Apply hormone treatments to improve fruit setting and install shade cloth during peak heat hours. Monitor for whitefly which thrives in these conditions and can vector viral diseases that devastate tomato crops."
Brinjal,Flowering,37,72,5,16,"Very high temperature with moderate wind may cause flower abortion. Utilize shade nets during peak heat and apply supplemental irrigation during cooler hours. Implement windbreaks to reduce physical damage to flowers and potential yield loss. Ensure workers have appropriate sun protection and hydration."
Millet,Germination,25,80,55,10,"Warm temperature with high rainfall may promote rapid weed growth competing with seedlings. Apply pre-emergent herbicides before heavy rains and ensure workers wear appropriate PPE during application. Install temporary covers to protect seedbeds from heavy downpours that might wash away seeds."
Groundnut,Harvest,28,72,10,10,"Moderate conditions are favorable for harvesting operations. Ensure proper drying facilities are available if unexpected rain occurs. Clean and sanitize harvesting equipment to prevent aflatoxin contamination, and train workers on proper lifting techniques to prevent back injuries during harvest."
Cotton,Flowering,33,63,21,16,"Warm temperature with moderate wind may accelerate water loss. Implement supplemental irrigation focusing on root zone saturation rather than overhead watering. Monitor for bollworms which thrive in these conditions and ensure pesticide applicators wear full protective gear."
Tomato,Vegetative,33,78,50,10,"High temperature with significant rainfall creates ideal conditions for foliar diseases. Implement preventive fungicide applications before rain events and prune lower leaves to improve air circulation. Train workers to recognize early disease symptoms and avoid working with wet foliage to prevent spread."
Tomato,Vegetative,28,66,35,10,"Moderate conditions favor balanced growth but still present disease risks after rainfall. Implement mulching to reduce soil splash and pathogen transfer to lower leaves. Stake or trellis plants to improve air circulation and apply copper-based fungicides preventively according to safety guidelines."
Sugarcane,Germination,24,80,64,10,"Moderate temperature with heavy rainfall increases risk of seed rot. Apply appropriate fungicidal seed treatments before planting and ensure field drainage systems are functional. Avoid walking in fields during wet conditions to prevent soil compaction that can impede emergence."
Maize,Germination,27,80,35,11,"Warm and moist conditions promote rapid germination but also favor seedling diseases. Apply appropriate seed treatments before planting and monitor for cutworm damage which is common in these conditions. Establish drainage channels to prevent waterlogging if heavy rains occur."
Maize,Vegetative,32,74,30,13,"Warm temperature with moderate rainfall creates favorable conditions for fungal leaf diseases. Implement a preventive fungicide program focusing on early detection and control. Ensure workers are trained in proper chemical handling procedures and wear appropriate PPE during application."
Tomato,Flowering,34,69,17,14,"High temperature may impact pollination and fruit set. Apply hormone treatments to improve fruit setting and install shade cloth during peak heat hours. Monitor for spider mites which thrive in hot conditions and implement appropriate control measures following safety guidelines."
Millet,Germination,23,83,55,10,"Moderate temperature with high humidity and rainfall increases disease pressure. Apply appropriate seed treatments before planting and establish adequate drainage systems. Monitor fields daily for signs of damping-off disease and implement fungicide applications according to safety protocols."
Sugarcane,Germination,25,80,58,12,"Favorable conditions for both germination and disease development. Apply fungicidal seed treatments before planting and ensure field drainage systems are functional. Monitor emerging shoots for signs of red rot disease which thrives in wet conditions and can devastate young plantations."
Tomato,Flowering,35,69,16,14,"High temperature may reduce pollen viability. Hand pollinate during early morning hours when temperatures are lower and pollen is most viable. Install temporary shade structures during peak heat periods and ensure workers are protected from heat exposure with appropriate gear and hydration."
Sugarcane,Germination,23,90,56,14,"Very high humidity with significant rainfall creates perfect conditions for fungal diseases. Implement raised planting beds to improve drainage and apply appropriate fungicides following safety protocols. Monitor fields frequently for early signs of disease and sanitize tools between inspections."
Banana,Harvest,30,72,0,9,"Optimal dry conditions for harvesting operations. Implement careful bunch handling procedures to prevent physical damage and subsequent disease. Ensure workers use proper lifting techniques and protective gloves to prevent injuries and skin irritation from plant sap."
Tomato,Vegetative,31,77,41,8,"Warm temperature with significant rainfall increases disease pressure. Implement preventive fungicide applications before rain events and prune lower leaves to improve air circulation. Apply mulch to prevent soil splash and subsequent disease transfer to foliage."
Cotton,Flowering,37,64,10,17,"Very high temperature with moderate wind may cause flower abortion. Implement supplemental irrigation during cooler hours and consider temporary shade structures for hottest periods. Monitor for sucking pests which thrive in hot conditions and train workers on heat stress recognition and prevention."
Banana,Harvest,30,76,0,12,"Warm dry conditions are ideal for harvesting but may cause heat stress in workers. Schedule harvesting activities during early morning or late afternoon to avoid peak heat. Ensure proper hydration stations are available and implement buddy systems to monitor for signs of heat exhaustion."
Tomato,Vegetative,27,74,33,11,"Moderate temperature with adequate rainfall promotes good vegetative growth. Implement preventive disease management as humidity and rainfall favor pathogen development. Train workers on proper pruning techniques to improve air circulation and sanitize tools between plants."
Rice,Flowering,37,72,12,15,"High temperature during flowering may impact grain formation. Maintain adequate water levels in paddies to moderate temperature effects and apply supplemental irrigation if necessary. Monitor for rice blast disease which can thrive in these conditions and implement appropriate fungicide programs following safety guidelines."
Millet,Flowering,32,66,19,15,"Warm temperature with moderate wind may accelerate water loss during critical flowering stage. Apply supplemental irrigation during cooler hours and monitor for head smut disease which can appear during this growth stage. Ensure pesticide applicators follow proper mixing and application procedures."
Coconut,Harvest,24,68,8,11,"Pleasant working conditions for harvesting operations. Implement proper harness and safety equipment for tree climbing and train workers in safe climbing practices. Ensure harvesting tools are well-maintained to prevent accidents and transport harvested nuts promptly to prevent quality deterioration."
Groundnut,Harvest,32,79,0,13,"Warm temperature with no rainfall provides good harvesting conditions. Implement proper drying procedures immediately after harvest to prevent aflatoxin development. Train workers on proper lifting techniques and ensure adequate hydration during harvesting operations to prevent heat-related illness."
Coconut,Flowering,34,62,14,13,"High temperature with low humidity may impact pollination. Monitor for eriophyid mite which thrives in these conditions and can significantly reduce yield. Ensure pesticide applicators wear appropriate protective equipment including respiratory protection when treating tall trees."
Brinjal,Flowering,38,70,1,17,"Extremely high temperature may cause flower drop and pollen sterility. Install temporary shade structures during peak heat and apply supplemental irrigation during early morning. Monitor for spider mites and thrips which thrive in hot conditions and can devastate flowering crops."
