crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion
Maize,Vegetative,34,74,32,11,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Millet,Germination,23,78,55,7,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Sugarcane,Germination,26,82,61,11,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Banana,Harvest,30,77,0,11,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Maize,Vegetative,31,72,24,11,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Cotton,Flowering,34,67,7,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Groundnut,Vegetative,33,74,34,16,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Brinjal,Flowering,37,71,11,16,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Maize,Germination,31,79,58,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Groundnut,Vegetative,31,80,37,13,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Groundnut,Flowering,35,64,0,12,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Maize,Germination,29,80,67,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Tomato,Vegetative,27,66,41,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Groundnut,Flowering,35,66,9,15,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Tomato,Flowering,35,77,17,14,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Brinjal,Flowering,37,72,5,16,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Millet,Germination,25,80,55,10,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Groundnut,Harvest,28,72,10,10,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Cotton,Flowering,33,63,21,16,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Tomato,Vegetative,33,78,50,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Tomato,Vegetative,28,66,35,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Sugarcane,Germination,24,80,64,10,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Maize,Germination,27,80,35,11,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Maize,Vegetative,32,74,30,13,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Tomato,Flowering,34,69,17,14,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Millet,Germination,23,83,55,10,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Sugarcane,Germination,25,80,58,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Tomato,Flowering,35,69,16,14,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Sugarcane,Germination,23,90,56,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Banana,Harvest,30,72,0,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Tomato,Vegetative,31,77,41,8,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Cotton,Flowering,37,64,10,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Banana,Harvest,30,76,0,12,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Tomato,Vegetative,27,74,33,11,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Rice,Flowering,37,72,12,15,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Millet,Flowering,32,66,19,15,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Coconut,Harvest,24,68,8,11,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Groundnut,Harvest,32,79,0,13,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Coconut,Flowering,34,62,14,13,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Flowering,38,70,1,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Flowering,34,69,3,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Cotton,Flowering,33,70,16,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Sugarcane,Germination,26,83,56,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Groundnut,Flowering,34,71,11,15,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Cotton,Flowering,36,68,3,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Rice,Flowering,34,78,10,16,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Groundnut,Flowering,37,68,7,15,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Brinjal,Vegetative,28,85,25,14,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Banana,Harvest,27,76,8,11,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Groundnut,Harvest,31,70,11,12,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Maize,Germination,31,78,45,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Groundnut,Harvest,32,75,17,10,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Cotton,Flowering,37,67,18,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Maize,Germination,32,80,53,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Millet,Flowering,33,61,15,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Groundnut,Vegetative,34,73,29,14,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Tomato,Vegetative,33,82,47,11,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Tomato,Flowering,32,77,7,14,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Groundnut,Harvest,31,77,17,13,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Cotton,Flowering,37,69,21,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Vegetative,30,88,14,13,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Groundnut,Harvest,31,79,16,13,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Groundnut,Vegetative,34,76,33,16,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Sugarcane,Germination,23,82,56,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Coconut,Harvest,26,72,1,10,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Maize,Vegetative,34,70,34,12,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Cotton,Flowering,37,63,17,16,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Harvest,34,73,10,7,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Millet,Germination,24,78,49,10,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Cotton,Vegetative,31,75,45,8,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Maize,Vegetative,33,74,38,9,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Millet,Germination,25,83,46,7,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Maize,Germination,28,84,37,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Coconut,Harvest,27,67,13,12,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Groundnut,Vegetative,33,74,33,15,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Millet,Germination,24,82,58,9,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Maize,Germination,32,85,63,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Sugarcane,Germination,23,83,70,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Coconut,Flowering,36,66,0,11,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Vegetative,28,90,29,12,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Tomato,Vegetative,30,78,59,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Tomato,Vegetative,31,68,42,13,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
