crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion
Cotton,Flowering,32,66,20,7,High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion.
Banana,Germination,31,84,57,10,Warm and humid conditions favor leaf spot diseases. Implement a preventive fungicide program and ensure workers rotate tasks to minimize continuous exposure to chemicals. Create windbreaks to reduce physical damage to plants and maintain soil moisture during windy conditions.
Banana,Vegetative,24,81,4,10,High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion.
Groundnut,Vegetative,31,60,37,5,"High temperature with moderate rainfall requires vigilant pest monitoring, especially for bollworm. Apply appropriate insecticides during cooler parts of day and wear protective equipment. Ensure adequate nutrient levels to support robust growth while watching for signs of heat stress in workers and plants."
Sugarcane,Harvest,38,81,39,8,High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion.
Paddy,Germination,32,78,57,18,"Warm temperature with no rainfall creates ideal harvesting conditions. Ensure workers take regular hydration breaks to prevent heat stress. Clean and sanitize harvesting tools between plants to prevent disease spread, and store harvested produce in shaded areas to maintain quality."
Onion,Vegetative,27,74,14,8,High temperature with strong winds may accelerate water loss. Implement supplemental irrigation focusing on early morning or late evening to reduce evaporation. Monitor for pests like stem borer which thrive in these conditions and ensure pesticide applicators wear full protective gear with respiratory protection.
Onion,Flowering,27,81,8,12,"High temperature with moderate rainfall requires vigilant pest monitoring, especially for bollworm. Apply appropriate insecticides during cooler parts of day and wear protective equipment. Ensure adequate nutrient levels to support robust growth while watching for signs of heat stress in workers and plants."
Tomato,Germination,27,80,40,11,High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion.
Millet,Flowering,36,80,22,15,High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion.
Sugarcane,Germination,32,84,10,11,"Warm temperature with no rainfall creates ideal harvesting conditions. Ensure workers take regular hydration breaks to prevent heat stress. Clean and sanitize harvesting tools between plants to prevent disease spread, and store harvested produce in shaded areas to maintain quality."
Groundnut,Vegetative,34,60,42,5,High humidity and rainfall create ideal conditions for fungal diseases. Treat planting material with fungicides before sowing and ensure field workers use protective gear during application. Implement drainage systems to prevent stagnant water and subsequent root rot issues.
Tomato,Harvest,31,73,19,20,Moderate temperature with significant rainfall may cause waterlogging. Establish proper drainage channels before heavy rains and avoid walking on wet seedbeds. Monitor for fungal diseases like root rot and treat seedbeds with appropriate fungicides wearing proper protective equipment.
Tomato,Germination,36,63,18,13,"High temperature with moderate rainfall requires vigilant pest monitoring, especially for stem borer. Apply appropriate insecticides during cooler parts of day and wear protective equipment. Ensure adequate nutrient levels to support robust growth while watching for signs of heat stress in workers and plants."
Banana,Flowering,32,67,28,16,Substantial rainfall may lead to soil erosion and seed displacement. Implement contour plowing before planting and use mulch to stabilize soil. Monitor for seedling diseases that thrive in wet conditions and establish emergency drainage channels to prevent complete waterlogging.
Brinjal,Harvest,30,77,36,13,High temperature may cause flower drop and reduce pollination. Install shade nets during peak heat hours and irrigate during cooler periods. Apply pollinator-friendly pest management strategies and ensure workers take frequent breaks to prevent heat exhaustion.
