crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion,category
Maize,Germination,35,69,30,16,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Turmeric,Flowering,38,69,22,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Banana,Harvest,32,75,24,18,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Groundnut,Flowering,33,70,38,13,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Paddy,Flowering,37,78,40,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Onion,Harvest,32,66,27,15,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Sugarcane,Germination,38,74,37,10,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Groundnut,Harvest,34,78,22,10,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Sugarcane,Harvest,33,79,26,15,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Onion,Germination,32,79,32,7,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Brinjal,Harvest,32,79,20,6,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Brinjal,Vegetative,36,68,34,17,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Turmeric,Flowering,35,74,28,6,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Turmeric,Flowering,36,77,35,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Cotton,Flowering,35,80,23,16,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Turmeric,Germination,37,67,36,20,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Millet,Flowering,33,71,25,19,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Cotton,Harvest,37,72,31,17,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Groundnut,Vegetative,33,72,34,6,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Maize,Flowering,33,79,37,7,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Paddy,Harvest,38,67,35,10,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Maize,Harvest,36,71,32,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Maize,Vegetative,32,80,34,20,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Millet,Flowering,38,80,34,16,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Chili,Flowering,34,73,31,15,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Maize,Germination,35,73,26,19,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Sugarcane,Vegetative,35,74,33,19,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Maize,Germination,36,73,33,13,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Cotton,Vegetative,34,74,35,8,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Brinjal,Germination,32,72,30,8,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
